key,ceb
point8,"Sa pagbiya sa usa ka comment o sa pagpangutana Sa Nagtiniil team sa bisan unsa nga mga pangutana, pagpili sa ""Comments"" tab sa mga detalye panel. Ang tanan nga mga indibidwal nga ang pakisayran nga file gipaambit, lakip ang Nagtiniil Nga Ocean team, makadawat pahibalo kung gihimo ang usa ka komentaryo, busa dili kinahanglan nga tag bisan unsang partikular nga indibidwal."
fig2,Figure 2: Example view sa admin_ref sa Dinamikong Panglantaw
fig3,Figure 3: Example view sa admin_ref detalye panel sa Dinamikong Panglantaw
step4,"Lakang 4: Tubaga ang mga hangyo sa pag-update kung ang datos nawala o sayup, o aron pagtubag sa usa ka komento."
point9,"Kung adunay dili kompleto o dili husto nga kasayuran nga hinungdanon alang sa pagpopular Sa Mga dropdown sa Kobo o alang sa mga pag-apil, o kung ang usa ka komento gihimo sa sheet, usa ka hangyo sa pag-update ang ipadala sa tanan nga angay nga tiggamit, nga nag-aghat kanila sa pag-update sa kasayuran o pagtubag sa usa ka komento (Figure 4). Pinaagi sa default, ang tanan nga adunay access sa imong mga file sa pakisayran makadawat sa hangyo sa pag-update."
point10,"Ang usa ka preview sa datos nga kinahanglan nga ma-update o matubag makita sa ubos sa mensahe sa email, apan dili ka makahimo sa pag-update sa bisan unsang datos nga direkta sa email"
point10.1,"Sa ilawom sa email, adunay usa ka link alang sa ""Pag-Adto sa sheet""; bisan pa, ang nagpahiping sheet nagpugong sa pag-access. Palihug ribyuha ang imong datos o tubaga ang komento pinaagi sa Bukas nga hangyo."
point11,"I-klik ang ""Open Hangyo"" button sa email nga mensahe."
point12,Ang usa ka bag-ong bintana sa browser sa internet magbukas sa usa ka porma nga sama sa pag-setup alang sa matag entry (Figure 5)
point13,Ribyuha ANG BFO kaumahan ug pun-on ang mga editable kaumahan.
point14,I-klik sunod sa ubos sa screen sa paglihok pinaagi sa matag entry nga kinahanglan nga updated.
point15,"Aron laktawan ang usa ka entry (pananglitan kung dili ka sigurado kung unsang tubag ang pilion) i-klik ang ""Next"" nga wala maghimo usa ka pagpili sa mga ma-edit nga kolum. Ang sunod nga entry nga kinahanglan ma-update magpakita."
point16,"Kung kinahanglan nimo nga mogawas sa panid o mohunong sa wala pa ma-update ang tanan nga mga entry, ang imong mga kapilian kinahanglan maluwas sa sunod nga imong ablihan usab ang hangyo. Sa pag-abli sa pagpadayon sa, lang i-klik ""Next"" hangtud nga imong makita ang usa ka entry nga kinahanglan nga updated."
point17,"Sa diha nga ikaw sa pagkuha sa mga katapusan nga entry, i-klik ""Gibuhat"". Ang usa ka pop-up nga mensahe makita nga nangutana kung Andam ka ba nga isumite ang imong pag-update?’:"
point17.1,"Pag-klik sa"" Balik "" kung kinahanglan nimo nga repasuhon"
point17.2,"I-klik ang ""Submit Update"" sa pagsumiter sa inyong mga updates."
point17.3,Ang imong mga pag update awtomatiko nga nadugang sa file sa pakisayran ug mahimo nimo kini makita sa Dinamikong Panan aw
p2,"Kung sa bisan unsang oras nga makasugat ka bisan unsang mga sayup, adunay mga pangutana, o kinahanglan nga suporta alang sa pag-update sa mga pakisayran nga file, palihug kontaka kami sa katie@barefootocean.org o brittany@barefootocean.org."
fig4,"Figure 4: Panig-Ingnan ""Update Hangyo"" email sa diha nga impormasyon kinahanglan nga matul-id o comment kinahanglan nga mitubag sa."
table1,"Table 1: ang nag-unang mga natad sa matag usa sa mga pakisayran nga mga file. Ang tipo sa uma nga ""BFO"" gidumala sa Nagtiniil Nga Dagat ug dili ma-edit. Sa paghangyo sa mga kausaban sa bisan unsa sa mga"" BFO "" kaumahan, palihug mobiya sa usa ka comment. Ang mga uma nga adunay tipo sa uma nga ""editable"" mahimong ma-edit. Ang tipo sa uma nga ""awto"" awtomatiko nga gipuy-an."
t1.1,Ngalan sa uma
t1.2,Paghulagway sa uma
t1.3,Matang sa uma
t1.4,Ang tanan nga reference files
t1.5,"Kini nga kolum nagtipig sa katapusang komento nga gihimo alang sa kana nga laray. Aron matan-aw ang tibuuk nga diskusyon sa mga komento alang sa kana nga laray, pag-klik lang bisan diin sa laray. Ang mga detalye sa panel makita, sama sa gihimo sa Figure 3. Pag-klik sa tab nga ""Mga Komento"" aron makita ang tanan nga mga komento alang sa kana nga laray."
t1.6,auto
t1.7,edited
t1.8,Petsa sa katapusan nga pag edit
t1.9,Ang mga tiggamit nga naghimo sa katapusan nga pag-edit
t1.10,Ang code sa nasud sa iso usa ka giila nga code sa kombinasyon sa sulat
t1.11,"Ngalan sa administrasyon 1, ang labing kataas nga lebel sa administratiba pagkahuman sa nasud (ie lalawigan) nga wala 'y lugar ug wala' y punctuation, gihatagan ra og gibug-aton"
t1.12,"Ngalan sa administrasyon 1, ang labing kataas nga lebel sa administratibo pagkahuman sa nasud (ie lalawigan) nga adunay gitugotan nga mga wanang ug punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.13,"Ang bandila mahimong pula kung ang kantidad sa"" partner "" wala maglungtad sa org_ref"
t1.14,"Ngalan sa kauban nga wala 'y mga wanang ug wala' y punctuation, gihatagan ra og gibug-aton. Ang lista sa dropdown konektado sa kolum nga ""ngalan"" sa org_ref."
t1.15,"Pilia ang"" Oo "" kung ang datos karon nakolekta gikan sa kini nga indibidwal/lugar. Kung ang datos dili na nakolekta gikan sa kini nga indibidwal/lugar, ug gusto nimo nga itago kini gikan sa Kobo dropdown, pilia ang ""Dili.”"
t1.16,"Pilia ang"" Oo "" kung gusto nimo i-download ang file. Ang mga rekord kinahanglan lamang nga tangtangon kung ang ngalan sayop o kini usa ka duplicate sa usa ka kasamtangan nga rekord."
t1.18,"Ngalan sa administrasyon 2, ang labing kataas nga lebel sa administratibo pagkahuman sa administratibo (ie distrito) nga wala 'y wanang ug wala' y punctuation, gihatagan ra og gibug-aton"
t1.19,"Ngalan sa administrasyon 2, ang labing kataas nga lebel sa administratibo pagkahuman sa administratibo (ie distrito) nga adunay gitugotan nga mga wanang ug punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.20,"Ang bandila mahimong pula kung ang kantidad nga"" admin1_ref_name "" wala maglungtad sa admin1_ref"
t1.21,"Ang ngalan sa admin 1 nga walay luna ug walay punctuation, mga underscore lamang. Ang lista sa dropdown konektado sa kolum nga ""ngalan"" sa admin1_ref."
t1.25,"Ang mga ngalan sa admin 2 ug admin 3 gihiusa nga wala 'y mga wanang ug wala' y punctuation, gihatagan ra og gibug-aton.Ang admin3 mao ang labing kataas nga lebel sa administratibo pagkahuman sa admin 2 (ie baryo)."
t1.26,"Ngalan sa admin3, ang labing kataas nga lebel sa administratibo pagkahuman sa admin 2 (ie baryo) nga adunay mga wanang ug gitugotan nga punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.27,Admin 1 ngalan uban sa luna ug punctuation gitugotan. Kini gikuha gikan sa administr1_ref ug auto nga gipuy-an base sa gipili sa administr2 nga gipili.
t1.28,"Ang ngalan sa admin 1 nga walay luna ug walay punctuation, mga underscore lamang. Kini gikuha gikan sa admin1_ref ug auto nga gipuy an base sa gipili sa administr2"
t1.29,"Ang bandila mahimong pula kung ang kantidad nga"" admin2 "" wala maglungtad sa administr2_ref."
t1.30,"Admin 2 ngalan uban sa luna ug punctuation gitugotan. Ang lista sa dropdown konektado sa kolum nga ""label"" sa administr2_ref."
t1.31,"Ngalan sa admin 2 walay luna ug walay punctuation, lamang underscores. Gikuha kini gikan sa admin2_ref ug auto nga gipuy-an base sa gipili sa administr2 nga gipili."
t1.34,Latitude sa admin 3
t1.35,Longitude sa admin 3
t1.38.1,"Pilia Ang ""Oo"" kung gusto nimo makita ang admin3 sa dropdown alang sa porma sa pag-monitor sa kobo landings."
t1.38.2,"Pilia Ang ""Oo"" kung gusto nimo makita ang admin3 sa dropdown alang sa porma sa pag-profile sa Kobo."
t1.38.3,"Pilia Ang ""Oo"" kung gusto nimo makita ang admin3 sa dropdown alang sa porma sa pag-profile sa komunidad sa Kobo."
t1.38.4,"Pilia Ang ""Oo"" kung gusto nimo makita ang admin3 sa dropdown alang sa porma sa survey sa Kobo household."
t1.40,"Ngalan sa pumapalit nga walay luna ug walay punctuation, lamang underscore"
t1.41,"Ang ngalan sa pumapalit nga adunay mga luna ug gitugot nga punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.42,"Ang Gender sa pumapalit; 'male' (lalaki), 'female' (babaye), 'nonbinary' o 'business_nogender'"
t1.43,"Pula ang bandila kung ang kantidad sa buyer_gender magkalainlain alang sa parehas nga pumapalit (ie Kung Si Raymond Scott sa admin3= Boston adunay gender=lalaki, apan Si Raymond Scott sa admin3=Miami adunay gender=babaye, ang bandila mahimong pula tungod kay ang mga lalaki dili parehas alang sa parehas nga pumapalit)."
t1.44,"Admin 1 ngalan diin ang pumapalit gipalit gikan sa, uban sa luna ug punctuation gitugotan. Kini gikuha gikan sa admin1_ref ug auto nga gipuy-an base sa gipili nga administr3_ref_name."
t1.45,"Admin 2 ngalan diin ang pumapalit gipalit gikan sa, uban sa luna ug punctuation gitugotan. Gikuha kini gikan sa admin2_ref ug auto nga gipuy-an pinahiuyon sa gipili nga ngalan sa administr3_ref_name."
t1.46,"Admin 3 ngalan diin ang pumapalit gipalit gikan sa, uban sa luna ug punctuation gitugotan. Gikuha kini gikan sa admin3_ref ug auto nga gipuy-an pinahiuyon sa gipili nga ngalan sa administr3_ref_name."
t1.47,"Ang mga ngalan sa admin 2 ug admin 3 gihiusa nga wala 'y mga wanang ug wala' y punctuation, gihatagan ra og gibug-aton.Ang lista sa dropdown konektado sa kolum nga ""ngalan"" sa admin3_ref."
t1.48,"Ang bandila mahimong pula kung ang kantidad nga"" admin3_ref_name "" wala sa admin3_ref."
t1.52,"Ang ngalan sa mangingisda nga walay luna ug walay punctuation, lamang underscore"
t1.53,"Ang ngalan sa mangingisda nga adunay mga luna ug gitugot nga punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.54,"Ang Gender sa mangingisda; 'male' (lalaki), 'female' (babaye), 'nonbinary' o 'business_nogender'"
t1.55,"Ang bandila mahimong pula kung ang kantidad sa pangisda_gender magkalainlain alang sa parehas nga mangingisda (ie Kung Si Raymond Scott sa admin3= Boston adunay gender=lalaki, apan Si Raymond Scott sa admin3=Miami adunay gender=babaye, ang bandila mahimong pula tungod kay ang mga lalaki dili parehas alang sa parehas nga mangingisda)."
t1.56,"Admin 1 ngalan diin ang mga mangingisda yuta sa ilang mga dakpon, uban sa mga luna ug punctuation gitugotan. Kini gikuha gikan sa admin1_ref ug auto nga gipuy-an base sa gipili nga administr3_ref_name."
t1.57,"Ngalan sa admin 2 diin ang mangingisda yuta sa ilang mga dakpon, uban sa luna ug punctuation gitugotan. Gikuha kini gikan sa admin2_ref ug auto nga gipuy-an pinahiuyon sa gipili nga ngalan sa administr3_ref_name."
t1.58,"Admin 3 ngalan diin ang mga mangingisda yuta sa ilang mga dakpon, uban sa mga luna ug punctuation gitugotan. Gikuha kini gikan sa admin3_ref ug auto nga gipuy-an pinahiuyon sa gipili nga ngalan sa administr3_ref_name."
t1.64,"Ngalan sa tigkolekta sa datos nga walay luna ug walay punctuation, lamang underscores"
t1.65,Ngalan sa tigkolekta sa datos nga adunay mga luna ug gitugot nga punctuation.
t1.66,"Ang Gender sa data collector; 'male' (lalaki), 'female' (babaye), 'nonbinary' o 'business_nogender'"
t1.69,"Pilia ang"" Oo "" kon gusto nimo nga ang data collector makita sa dropdown alang sa kobo landings monitoring form."
t1.70,"Pilia Ang ""Oo"" kung gusto nimo makita ang kolektor sa datos sa dropdown alang sa porma sa pag-profile Sa Kobo"
t1.71,"Pilia Ang ""Oo"" kung gusto nimo makita ang kolektor sa datos sa dropdown alang sa porma Sa survey Sa Kobo household"
t1.72,"Pilia Ang ""Oo"" kung gusto nimo makita ang data collector sa dropdown para sa kobo community profiling form"
t1.75,"Ngalan sa pangisda wala 'y lugar ug wala' y punctuation, gipasiugda ra"
t1.76,"Ang ngalan sa yuta sa pangisda nga adunay mga luna ug gitugotan ang punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.81,Latitude sa pangisdaan
t1.82,Ang gitas-on sa salog sa pangisda
t1.85,"Lokal nga ngalan sa gear nga walay luna ug walay punctuation, lamang underscores"
t1.86,"Ang lokal nga ngalan sa gear nga adunay mga luna ug gitugot nga punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.87,"Iningles nga ngalan sa gear nga walay luna ug walay punctuation, lamang underscores. Kini usa ka predefined dropdown list. Palihug pagpili usa nga labing angay sa lokal nga gamit, o komento kung dili ka sigurado."
t1.88,Deskripsyon sa gear
t1.89,"Mga espisye mga target sa gear. Kung ang usa ka gear nag-target sa daghang mga espisye, paghimo usa ka bag-ong laray sa datos alang sa matag grupo sa species. Ang lista sa dropdown konektado sa kolum nga ""species_group"" sa species_ref."
t1.90,"Ang bandila mahimong pula kung ang gipili nga"" species_group "" wala maglungtad sa specie_ref."
t1.95,"Ngalan sa landing site nga walay luna ug walay punctuation, lamang underscores"
t1.96,Ang ngalan sa landing site nga adunay mga luna ug ang punctuation gitugotan
t1.103,"Talagsaon nga ngalan sa lugar sa pagdumala nga adunay mga wanang ug gitugotan nga punctuation. Palihug ayaw usba ang ngalan gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.104,"Talagsaon nga ngalan sa lugar sa pagdumala ug epektibo nga mga petsa. Dugang pa, kini naglangkob sa mosunod nga kasayuran nga gibulag sa usa ka underscore: management_id, management_method, close_date ug open_date."
t1.104.1,Ang listahan sa mga administrador 3 nga isda sulod sa management area.
t1.104.2,"Ang bandila mahimong pula kung ang usa sa mga admin3s nga gilista sa kolum nga ""admin3_fish"" wala maglungtad sa admin3_ref."
t1.104.3,Ang lista sa mga administrador nga adunay papel sa pagdumala sa kalihokan sa pagdumala.
t1.104.4,"Ang bandila mahimong pula kung ang usa sa mga admin3 nga gilista sa kolum nga ""admin3_govern"" wala maglungtad sa admin3_ref."
t1.105,"Ang lista sa mga hinungdan sa pagpangisda nga may kalabutan sa kalihokan sa pagdumala. Ang lista sa dropdown konektado sa kolum nga ""ngalan"" sa fishing_ground_ref."
t1.105.5,"Ang bandila mahimong pula kung ang usa sa mga nataran sa pangisda nga gilista sa ""management_fishing_ground_ref"" wala maglungtad sa pangisda_ground_ref."
t1.106,"Ang matang sa pamaagi sa pagdumala nga gigamit sa panahon sa panghitabo. Ang predefined listahan naglakip sa: Temporaryo Nga Pagsira, Walay Take Zone, Gear Restriction, Gidumala Access, Pag-Ani Ban o Deforestation Ban."
t1.106.1,"Ang matang sa legal nga mga butang. Ang predefined listahan naglakip sa: balangay ulo regulasyon, balangay ulo sugo, joint balangay ulo regulasyon o walay."
t1.106.2,"Target nga grupo sa mga espisye alang sa gidumala nga lugar. Kini mahimong maglakip sa 'Tanan', usa o daghang mga matang sa mga grupo. Ang lista sa dropdown konektado sa MASTER species_ref ug kauban ang mga grupo sa species gikan sa tanan nga mga kauban."
t1.107,"Target nga mga espisye alang sa gidumala nga lugar. Kini mahimong maglakip sa 'All_species', usa o daghang siyentipikanhong mga espisye. Ang lista sa dropdown konektado sa MASTER species_ref ug kauban ang mga species gikan sa tanan nga mga kauban."
t1.107.1,"Ang bandila mahimong pula kung ang gipili nga"" target_species "" dili pakisayran sa species_ref sa kauban."
t1.108,"Target nga puy-anan alang sa gidumala nga lugar. Ang predefined dropdown listahan naglakip sa puy-anan pagpili: 'reef, seagrass, mangrove, mud_flat, balas, lawom nga tubig o sa uban nga mga'."
t1.109,Gidak-on sa gidumala nga dapit gisukod sa hectares (ha)
t1.110,Pagsira sa gidumala nga lugar
t1.111,Petsa sa pag-abli sa gidumala nga lugar
t1.112,Latitude sa management area
t1.113,Ang longitude sa management area
t1.116,"Ngalan sa kasosyo/organisasyon nga walay luna ug walay punctuation, lamang underscore"
t1.117,"Ngalan sa partner/organisasyon nga adunay mga luna ug gitugot nga punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.118,"Ang mga grupo sa mga species nga gikolekta sa kauban ang datos. Ang lista sa dropdown konektado sa kolum nga ""species_group"" sa species_ref. Pilia ang tanan nga mga grupo kung gusto nila ang tanan nga mga species sa species _ref aron magpakita."
t1.122,"Ang ngalan sa Partner nga walay luna o punctuation, nagpasiugda lamang. Ang mga dropdown sa Species gisala sa kauban. Ang pila ka mga nasud adunay daghang mga kauban nga nagbahin sa usa ka lista sa mga species. Sa kana nga kaso, makita nimo ang code sa nasud imbis nga kasosyo, ug ang tibuuk nga lista sa species ipakita alang sa matag kauban sa kana nga nasud, gawas kung ang pipila ka mga grupo sa species gipiho sa kolum nga ""species_group"" sa org_ref."
t1.123,Tipo sa puy-anan nga may kalabutan sa mga espisye
t1.124,"Ang lokal nga ngalan ug mga espisye nga ngalan gihiusa sa usa ka underscore, nga walay laing punctuation o luna."
t1.125,Mga ngalan sa species sa parentesis
t1.126,"Ang mga espisye giklasipikar ngadto sa mga grupo base sa ilang biology nga walay luna o punctuation, nagpasiugda lamang. Kini nga natad gigamit aron makatabang sa pagsala sa pipila ka mga kapilian sa tubag sa Kobo."
t1.127,"Ang bandila mahimong pula kung ang gipili nga"" species_group ""wala' y pakisayran sa gear_ref. Kana nagpasabut nga ang tanan nga mga gear nga gilista sa gear_ref makita alang sa kini nga grupo sa mga species. Aron lang ipakita ang mga gear nga nagpunting sa kini nga grupo sa species, palihug idugang ang grupo sa species sa gear_ref."
t1.128,Lokal nga mga espisye ngalan uban sa luna ug punctuation gitugotan
t1.129,"Ngalan sa administrasyon 1, 2 o 3 nga wala ' y wanang o punctuation, gihatagan ra og gibug-aton. Ang lista sa dropdown konektado sa kolum nga ""ngalan"" sa katugbang nga admin_ref. *Kini nga uma lamang ipakita alang sa mga kauban nga gusto sa mga espisye dropdown nga gisala sa admin.*"
t1.130,Kasagaran nga mga espisye sa ingles nga ngalan nga adunay mga luna ug ang punctuation gitugotan
t1.131,Ngalan sa pamilya sa usa ka espisye nga adunay mga luna ug punctuation nga gitugotan
t1.132,"Ang siyentipikong ngalan sa mga espisye nga adunay mga luna ug gitugot nga punctuation. Kung ang mga espisye wala mahibal - an, ang genus o pamilya mahimo usab nga makasulod. Kung ang genus ra ang nahibal-an, i-type ang ngalan sa henero nga gisundan sa ""sp"" (sukwahi sa ""spp"" o spp.”). Kung ang pamilya ra ang nahibal-an, i-type ang ngalan sa pamilya (ie Lutjanidae)."
t1.134,"Ang paghubad sa ingles alang sa"" pagdugang bag-ong"","" wala mahibal-an"","" dili ibaligya"", ug uban pa."
t1.135,"Paghubad sa pinulongan sa nasud alang sa ""pagdugang bag-ong"", ""wala mahibal-an"", ""dili ibaligya"", ug uban pa."
t1.136,Ang pakisayran sheet ang paghubad nga gihiusa sa sa pagpakita sa mga angay nga dropdown sa Kobo
t1.138,"Ang ngalan sa Partner nga walay luna o punctuation, nagpasiugda lamang."
t1.139,Minimum nga presyo base sa specie_group
t1.140,Maximum nga presyo base sa specie_group
t1.141,"Mga espisye ang min / max nga pasidaan magamit. Aron makadugang usa ka bag-ong grupo, palihug komentaryo ug ipahibalo SA BFO."
t1.143,Presyo kada kg o presyo kada indibidwal (species gibug-aton ug gitas-on sa mga pasidaan nga gipatuman sa likod katapusan pinaagi sa data gikan sa literatura)
faq,Kanunay Nga Gipangutana Nga Mga Pangutana:
q1,"Unsa ka dugay ang pag-download sa usa ka bag-ong admin 1, unsa ka dugay kini moabut sa wala pa kini makita sa dropdown alang sa admin 2?"
a1,"Gikinahanglan ang 15 minuto sa wala pa magamit ang mga bag-ong entry sa mga dinamikong dropdown. Nalakip kini sa administr2 dropdown sa admin3_ref, ang species_group dropdown sa gear_ref, ang administr3 dropdown sa buyer_ref, fisher_ref, data_collector, ug uban pa. Tan-awa Ang Figure 5 alang sa bug-os nga lista sa mga dinamikong dropdown ug ang ilang agianan sa trabaho pinaagi sa mga file sa pakisayran."
q2,"Sa higayon nga ako makadugang o update sa usa ka pakisayran file, unsa ka dugay kini kuhaon sa atubangan sa mga updates makita diha sa Kobo survey?"
a2,Kinahanglan nimo nga makita ang usa ka gi-update nga kobo form sa gibana-bana nga 12-24 ka oras.
q3,"Giunsa ang pagrekord sa mga ngalan sa mga pumapalit, mangingisda ug mga tigkolekta sa datos?"
a3,"Sa minithi, mga ngalan kinahanglan nga ingon sa talagsaon nga kutob sa mahimo ngadto sa mga indibidwal ug naglakip sa ilang unang ngalan, katapusan nga ngalan ug angga. Kung ang usa ka tawo dili gusto nga ipaambit ang ilang tibuuk nga ngalan mahimo usab nimo gamiton ang una o una nga letra sa ilang katapusan nga ngalan."
fig5,Dinamikong dropdown nga koneksyon tali sa mga file sa pakisayran.
